"Scenario TID","Test Data","TestCase Description","PreCondition","TestSteps","Expected Result","Actual Result","Status","Executed QA Name","Misc (Comments)","Priority","Is Automated"
"TC_001","Valid registered email + correct password","[Functional-Authentication] Verify successful login with valid email and password","User has a registered VWO account with known email/password","1. Navigate to app.vwo.com login page; 2. Enter valid email; 3. Enter valid password; 4. Click Login button","User is authenticated and redirected to the VWO dashboard","","Not Executed","","PRD: Functional Requirements > Authentication System > Login Process - Primary Authentication","Critical","Yes"
"TC_002","Valid email + incorrect password","[Functional-Authentication] Verify login is rejected with an incorrect password","User has a registered VWO account","1. Navigate to login page; 2. Enter valid email; 3. Enter incorrect password; 4. Click Login","Login is rejected; a clear, actionable error message is displayed; user remains on login page","","Not Executed","","PRD: Login Process - secure validation; Error Handling","Critical","Yes"
"TC_003","Unregistered/invalid email + any password","[Functional-Authentication] Verify login is rejected for an unregistered email address","None","1. Navigate to login page; 2. Enter an email not associated with any account; 3. Enter any password; 4. Click Login","Login is rejected; clear, actionable error message shown","","Not Executed","","PRD: Login Process - secure validation; Error Handling","High","Yes"
"TC_004","Empty email field","[Functional-Validation] Verify login is blocked when the email field is left empty","None","1. Navigate to login page; 2. Leave email field empty; 3. Enter a password; 4. Click Login","Real-time/field validation prevents submission or shows an inline error on the email field","","Not Executed","","PRD: User Input Validation - Real-time Validation on blur","High","Yes"
"TC_005","Empty password field","[Functional-Validation] Verify login is blocked when the password field is left empty","None","1. Navigate to login page; 2. Enter a valid email; 3. Leave password field empty; 4. Click Login","Real-time/field validation prevents submission or shows an inline error on the password field","","Not Executed","","PRD: User Input Validation - Real-time Validation on blur","High","Yes"
"TC_006","Valid credentials","[Functional-Authentication] Verify a secure session is established after successful login","User has valid credentials","1. Log in with valid email/password; 2. Inspect session token/cookie issued by the application","A secure session token is created and associated with the authenticated user","","Not Executed","","PRD: Session Management - secure session handling","Critical","No (Requires backend/session-store inspection, not pure UI)"
"TC_007","Valid credentials; session left idle","[Functional-Authentication] Verify session expires after the configured timeout period","User is logged in with an active session","1. Log in successfully; 2. Leave the session idle beyond the configured timeout; 3. Attempt to access the dashboard","User session has expired and user is redirected to login / re-authentication is required","","Not Executed","","PRD: Session Management - configurable timeout periods. Exact timeout duration not specified in PRD - Inference (low confidence) on wait duration used in test.","High","Yes"
"TC_008","Account with 2FA available","[Functional-Authentication] Verify user can opt in to enable optional Multi-Factor Authentication (2FA)","User is logged into account settings","1. Navigate to security/account settings; 2. Enable 2FA option","2FA is enabled successfully for the account","","Not Executed","","PRD: Multi-Factor Authentication - Optional 2FA support. Exact settings UI location not specified in PRD - Inference (low confidence).","High","Yes"
"TC_009","Account with 2FA enabled + valid credentials","[Functional-Authentication] Verify user is prompted for a 2FA code after successful primary authentication when 2FA is enabled","2FA is enabled on the test account","1. Enter valid email and password; 2. Click Login","User is prompted to enter a second-factor authentication code before being granted access","","Not Executed","","PRD: Multi-Factor Authentication","High","Yes"
"TC_010","Account with 2FA enabled + incorrect 2FA code","[Functional-Authentication] Verify login is rejected when an incorrect 2FA code is entered","2FA is enabled; user has passed primary authentication","1. Complete primary login; 2. Enter an incorrect 2FA code; 3. Submit","Access is denied; clear error message displayed; user is not granted a session","","Not Executed","","PRD: Multi-Factor Authentication; Error Handling","High","Yes"
"TC_011","Enterprise/organizational account","[Functional-Authentication] Verify Enterprise SSO login option is available for organizational accounts","Test account belongs to an organization with SSO configured","1. Navigate to login page; 2. Verify presence of SSO login option for the organizational account","SSO login option (e.g., 'Login with SSO') is visible and available","","Not Executed","","PRD: Single Sign-On (SSO) - Enterprise SSO integration capabilities","Medium","Yes"
"TC_012","Enterprise SSO-configured account","[Functional-Authentication] Verify SSO login authenticates the user via the organization's Identity Provider","SSO is configured for the test organization (SAML/OAuth)","1. Click SSO login option; 2. Authenticate via the Identity Provider; 3. Return to VWO","User is authenticated and redirected to the VWO dashboard via SSO","","Not Executed","","PRD: SSO; Third-Party Services - Enterprise SSO (SAML, OAuth)","Medium","No (Depends on external IdP test environment)"
"TC_013","Any input field on login form","[Functional-Validation] Verify field-level validation triggers on blur","None","1. Focus on email field then move focus away (blur) without valid input; 2. Observe field state","Field validation message/feedback is shown immediately after blur, without requiring form submission","","Not Executed","","PRD: Real-time Validation - Field validation on blur","Medium","Yes"
"TC_014","Malformed email strings, e.g. 'user@', 'user.com'","[Functional-Validation] Verify email format is validated and rejects malformed addresses","None","1. Enter a malformed email address in the email field; 2. Move focus away or submit","An email-format validation error is displayed","","Not Executed","","PRD: Email Format Verification - automatic email format validation","High","Yes"
"TC_015","Mobile device/browser emulation","[Functional-Validation] Verify a specialized mobile keyboard (email layout) appears for the email field on mobile devices","Test executed on a mobile device or mobile emulator","1. Open login page on a mobile device; 2. Tap the email field","The device presents an email-optimized keyboard (e.g., with '@' key)","","Not Executed","","PRD: Email Format Verification - specialized mobile keyboards","Low","No (Mobile OS keyboard behavior not verifiable via standard Selenium WebDriver)"
"TC_016","Passwords of varying strength while typing","[Functional-Validation] Verify password strength indicator updates dynamically as the user types","None","1. Focus on the password field; 2. Type a weak password, then a stronger password incrementally; 3. Observe strength indicator","Visual password strength indicator updates in real time to reflect current input strength","","Not Executed","","PRD: Password Strength Indicators - Visual feedback for password requirements and strength. Exact strength thresholds not specified in PRD - Inference (low confidence).","Medium","Yes"
"TC_017","Invalid login attempt","[Functional-Validation] Verify a clear, actionable error message is shown on failed authentication","None","1. Attempt login with invalid credentials; 2. Observe the error message displayed","A clear, actionable error message is displayed, guiding the user on next steps","","Not Executed","","PRD: Error Handling - Clear, actionable error messages for failed authentication attempts","High","Yes"
"TC_018","Registered account email","[Functional-Password Management] Verify clicking 'Forgot Password' initiates the password reset flow","User has a registered account","1. On login page, click 'Forgot Password' link; 2. Enter registered email; 3. Submit","Password reset flow is initiated; confirmation message is shown to the user","","Not Executed","","PRD: Forgot Password Flow - Streamlined password reset process","High","Yes"
"TC_019","Registered account email","[Functional-Password Management] Verify a secure reset token is generated and delivered via email during password reset","User has initiated the forgot-password flow","1. Submit forgot-password request for a registered email; 2. Check the email inbox for the reset link/token","A secure, unique reset token/link is generated and received in the user's email","","Not Executed","","PRD: Forgot Password Flow - secure token generation","High","No (Requires email inbox/API verification, not pure browser UI)"
"TC_020","Valid password reset token/link","[Functional-Password Management] Verify password recovery completes successfully via the emailed reset link","A valid reset token/link has been generated for the account","1. Open the password reset link from email; 2. Enter and confirm a new password; 3. Submit","Password is updated successfully; user can log in with the new password","","Not Executed","","PRD: Password Recovery - Multiple recovery options including email-based reset","High","Yes"
"TC_021","New password meeting complexity rules","[Functional-Password Management] Verify a new password meeting enforced complexity requirements is accepted","User is on the set-new-password step of password reset (or registration)","1. Enter a new password that satisfies the enforced complexity rules; 2. Confirm password; 3. Submit","New password is accepted and saved","","Not Executed","","PRD: Password Requirements - Enforced security standards for password complexity. Exact complexity rules (length/char classes) not specified in PRD - Insufficient information to determine.","High","Yes"
"TC_022","New password NOT meeting complexity rules","[Functional-Password Management] Verify a new password that fails complexity requirements is rejected","User is on the set-new-password step","1. Enter a new password that does not satisfy complexity requirements; 2. Submit","Submission is rejected with a validation message indicating the password does not meet requirements","","Not Executed","","PRD: Password Requirements. Exact complexity rules not specified in PRD - Insufficient information to determine.","High","Yes"
"TC_023","Mobile viewport (e.g., 375x812)","[Functional-UX] Verify the login page renders correctly and responsively on a mobile viewport","None","1. Open login page on a mobile viewport/device; 2. Observe layout of form elements","Login form and all elements render correctly, legibly, and without overlap on the mobile viewport","","Not Executed","","PRD: Responsive Design - Mobile-optimized interface with touch-friendly controls","Medium","Yes"
"TC_024","Touchscreen device/emulator","[Functional-UX] Verify all login form controls are usable via touch input","Test executed on a touch-enabled device or emulator","1. Tap email field, password field, and Login button using touch input","All controls respond correctly to touch interaction","","Not Executed","","PRD: Responsive Design - touch-friendly controls","Low","No (Touch-specific interaction not fully simulable via standard Selenium WebDriver)"
"TC_025","N/A","[Functional-UX] Verify the first input field (email) is auto-focused when the login page loads","None","1. Navigate to the login page; 2. Observe which field has focus without any user interaction","The email input field is automatically focused on page load","","Not Executed","","PRD: Auto-focus - Automatic focus on the first input field","Medium","Yes"
"TC_026","N/A","[Functional-UX] Verify clicking a form label focuses its associated input field","None","1. Click on the 'Email' label text (not the input itself); 2. Observe focus state","Clicking the label moves focus to its associated input field","","Not Executed","","PRD: Clickable Labels - Enhanced accessibility with clickable form labels","Low","Yes"
"TC_027","Valid credentials","[Functional-UX] Verify a loading state is displayed while the authentication request is processing","None","1. Enter valid credentials; 2. Click Login; 3. Observe the UI immediately after submission before the response returns","A loading indicator (spinner/disabled button state) is shown during authentication processing","","Not Executed","","PRD: Loading States - Clear feedback during authentication processing","Medium","Yes"
"TC_028","Screen reader enabled (e.g., NVDA/JAWS/VoiceOver)","[Functional-Accessibility] Verify screen readers correctly announce login form fields via ARIA labels","Screen reader software is active","1. Navigate the login form using a screen reader; 2. Listen to announcements for each field/button","Screen reader correctly announces field names/roles/states via ARIA labels","","Not Executed","","PRD: Screen Reader Support - ARIA labels and keyboard navigation compatibility","High","No (Requires assistive-technology tooling, not standard Selenium automation)"
"TC_029","High Contrast Mode toggle","[Functional-Accessibility] Verify High Contrast Mode can be enabled and is correctly applied to the login page","None","1. Enable High Contrast Mode (OS or in-app setting); 2. Reload/view the login page","Login page renders using high-contrast styling for improved visibility","","Not Executed","","PRD: High Contrast Mode - Accessibility options for visually impaired users. Toggle location (OS-level vs in-app) not specified in PRD - Inference (low confidence).","Medium","Yes"
"TC_030","Keyboard only, no mouse","[Functional-Accessibility] Verify all interactive elements on the login page are reachable and operable using only the keyboard","None","1. Using only Tab/Shift+Tab/Enter/Space, navigate through email field, password field, remember-me checkbox, forgot-password link, login button, registration link; 2. Operate each control","All interactive elements are reachable in a logical order and fully operable via keyboard alone","","Not Executed","","PRD: Keyboard Navigation - Full keyboard accessibility for all interactive elements","High","Yes"
"TC_031","N/A","[Functional-Branding] Verify the login page displays correctly in Light Mode","Light Mode is the active/selected theme","1. Set/ensure Light Mode is active; 2. Observe login page styling","Login page renders using Light Mode color scheme per current branding","","Not Executed","","PRD: Theme Support - Light and Dark Mode options as highlighted in current announcements","Low","Yes"
